name	src_type	out_type	band	absmax	n_elem	note
blk.40.ffn_gate_shexp.weight	BF16	BF16	A	0.142578	1048576	dry-run band A
blk.40.ffn_up_shexp.weight	BF16	BF16	A	0.194336	1048576	dry-run band A
blk.40.ffn_gate_inp_shexp.weight	BF16	BF16	A	0.0088501	2048	dry-run band A
blk.40.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.attn_k_norm.weight	F32	F32	-	0	256	passthrough
blk.40.attn_k.weight	BF16	BF16	A	0.232422	1048576	dry-run band A
blk.40.attn_output.weight	BF16	BF16	A	1.84375	8388608	dry-run band A
blk.40.attn_q_norm.weight	F32	F32	-	0	256	passthrough
blk.40.attn_q.weight	BF16	BF16	A	0.386719	16777216	dry-run band A
blk.40.attn_v.weight	BF16	BF16	A	0.25	1048576	dry-run band A
blk.40.nextn.shared_head_norm.weight	F32	F32	-	0	2048	passthrough
blk.40.nextn.enorm.weight	F32	F32	-	0	2048	passthrough
blk.40.nextn.hnorm.weight	F32	F32	-	0	2048	passthrough
