PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
231810,231810,1,59658,59618,69264.0,8507.0,7766,4229887,279974.6,3316.6,3176.0,2937,142041,910.6,43678.4,1113.0,43,494845,68775.0,22299.7,3968.0,3872,4224833,274163.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
231810,231810,1,49623,49565,68470.7,60434.0,5751,1193885,82989.5,3492.1,3340.0,3050,296181,1527.3,63142.2,55473.0,25,1186622,82580.8,1911.5,1664.0,1600,15232,768.8,cudaLaunchKernel,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
231810,231810,0,7728,7723,67626.3,65312.5,7977,566583,42981.1,3877.5,3711.0,3171,20030,892.0,59928.5,57778.0,619,547942,41925.0,3859.2,3840.0,3616,15712,1021.7,cudaLaunchKernel,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
231810,231810,1,59658,59609,65297.9,5846.0,5214,4229449,280062.6,3361.6,3207.0,2982,1545635,6361.8,60612.4,1125.0,69,4221152,279899.7,1374.7,1344.0,1280,4352,192.9,cudaLaunchKernel,"void convert_unary<__half, float>(const void *, T2 *, long)"
231810,231810,1,12375,12375,64184.4,63410.0,11641,436697,32982.0,3516.8,3369.0,3069,19477,721.9,58502.8,57865.0,514,420488,32083.6,2164.9,2080.0,2016,12992,930.4,cudaLaunchKernel,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
231810,231810,0,49368,49288,63238.3,51215.0,5771,1183172,79549.1,3515.0,3350.0,3080,28439,834.6,57923.3,46241.5,1,1176077,79120.5,1895.3,1664.0,1599,15200,762.4,cudaLaunchKernel,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
231810,231810,1,12375,12365,63201.3,64815.0,6920,76140,6099.5,3521.4,3360.0,3085,19434,745.4,57092.4,58904.0,222,70304,7143.3,2634.1,2496.0,2272,23168,1760.8,cudaLaunchKernel,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
231810,231810,1,12375,12365,61920.4,63618.0,6318,75115,6252.6,3333.1,3182.0,2899,27083,767.2,56521.3,58235.0,419,69951,6240.2,2112.1,2112.0,2048,2784,57.3,cudaLaunchKernel,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
231810,231810,0,12501,12487,61720.8,51587.0,6110,1035960,101188.5,3454.2,3288.0,3026,19409,752.1,56550.5,46830.0,470,1000200,98066.6,1779.9,1408.0,1343,34080,3163.2,cudaLaunchKernel,"fused_mul_silu_f32(const float *, const float *, float *, int)"
231810,231810,1,12375,12366,59323.0,61015.0,5598,72745,6042.9,3445.4,3275.0,2995,24037,806.5,54457.2,56266.0,35,68119,6465.1,1460.3,1376.0,1344,11936,903.6,cudaLaunchKernel,"silu_f32(const float *, float *, int)"
231810,231810,1,12375,12363,56749.2,55920.0,12042,418108,32039.0,3738.8,3562.0,3293,25647,827.0,42537.3,44588.0,263,56634,6876.4,10514.9,7552.0,5760,389856,33371.4,cudaLaunchKernel,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
231810,231810,1,12375,12364,56736.3,55962.0,10605,418542,32054.7,3545.9,3372.0,3087,137064,1450.1,48565.6,47839.5,36,409807,31983.7,4668.2,4672.0,4576,5376,59.0,cudaLaunchKernel,"concat_f32_dim0(const float *, const float *, float *, long, long)"
231810,231810,0,12375,12361,55654.6,57611.0,6905,72745,8677.5,3769.6,3549.0,3160,27770,917.8,49215.3,51385.0,220,66699,9536.9,2726.2,2560.0,2240,23360,1769.8,cudaLaunchKernel,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
231810,231810,0,12375,12374,55025.7,54398.0,9394,439879,34176.7,3612.5,3439.0,3173,20752,851.2,49255.4,48782.5,783,423760,33314.7,2161.9,2080.0,2016,13184,932.1,cudaLaunchKernel,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
231810,231810,1,24468,24452,54077.0,55617.0,5705,68200,6072.7,3359.9,3231.0,2941,25187,743.2,49049.5,50619.0,74,63235,6063.9,1699.9,1696.0,1632,1792,31.1,cudaLaunchKernel,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
231810,231810,0,12375,12363,54054.8,56071.0,6334,71505,8873.5,3394.6,3232.0,2951,25132,762.5,48595.6,50649.0,15,64896,8955.4,2112.2,2112.0,2047,3360,82.7,cudaLaunchKernel,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
231810,231810,1,59658,59616,52593.0,5994.0,5103,509436,71764.2,3295.3,3161.0,2897,42868,703.9,47838.7,1067.0,277,503776,71669.3,1493.6,1472.0,1280,2176,179.0,cudaLaunchKernel,"void convert_unary<float, __half>(const void *, T2 *, long)"
231810,231810,0,12375,12363,51344.6,53282.0,5846,67636,8462.8,3618.8,3424.0,3128,20082,828.5,46306.2,48413.0,122,62967,8910.6,1464.9,1376.0,1343,13024,960.6,cudaLaunchKernel,"silu_f32(const float *, float *, int)"
